GT_Folder,Actual_GT_MM,Index,Camera,Gap_Pixel_H,AI_Raw_MM
GT_1mm,0.9,000,cam1,5.60,0.82
GT_1mm,1.0,000,cam3,6.37,0.73
GT_1mm,0.9,001,cam1,5.79,0.85
GT_1mm,1.0,001,cam3,6.30,0.72
GT_1mm,0.9,002,cam1,5.55,0.81
GT_1mm,1.0,002,cam3,6.43,0.73
GT_1mm,0.9,003,cam1,5.64,0.82
GT_1mm,1.0,003,cam3,6.12,0.70
GT_1mm,0.9,004,cam1,5.79,0.85
GT_1mm,1.0,004,cam3,6.16,0.70
GT_1mm,0.9,005,cam1,5.60,0.82
GT_1mm,1.0,005,cam3,6.65,0.76
GT_1mm,0.9,006,cam1,5.75,0.84
GT_1mm,1.0,006,cam3,6.51,0.74
GT_1mm,0.9,007,cam1,5.59,0.82
GT_1mm,1.0,007,cam3,6.53,0.74
GT_1mm,0.9,008,cam1,5.81,0.85
GT_1mm,1.0,008,cam3,6.17,0.70
GT_1mm,0.9,009,cam1,5.71,0.83
GT_1mm,1.0,009,cam3,6.38,0.73
